table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 20,000 or More, Ranked by July 1, 2024 Population: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,
,,,2020,2021,2022,2023,2024,,,,,,,,,,,
1724,"Prairie Village city, Kansas","22,952","22,958","22,886","22,816","22,851","22,919",,,,,,,,,,,
1725,"North Ogden city, Utah","20,926","21,048","21,501","21,883","22,301","22,908",,,,,,,,,,,
1726,"Alton city, Texas","18,227","18,366","18,859","19,682","21,208","22,907",,,,,,,,,,,
1727,"Sunny Isles Beach city, Florida","22,342","22,258","22,122","22,326","22,614","22,903",,,,,,,,,,,
1728,"Roselle village, Illinois","22,920","22,923","22,704","22,575","22,683","22,871",,,,,,,,,,,
1729,"Machesney Park village, Illinois","22,941","22,933","22,793","22,737","22,724","22,839",,,,,,,,,,,
1730,"Columbus city, Mississippi","24,070","23,995","23,563","23,272","23,019","22,820",,,,,,,,,,,
1731,"Shelby city, North Carolina","21,911","21,953","21,903","21,853","22,059","22,778",,,,,,,,,,,
1732,"Lino Lakes city, Minnesota","21,410","21,475","21,885","22,055","22,409","22,774",,,,,,,,,,,
1733,"West Chester borough, Pennsylvania","18,666","18,663","19,486","19,728","22,687","22,758",,,,,,,,,,,
1734,"Shafter city, California","19,955","20,063","20,231","21,027","21,917","22,754",,,,,,,,,,,
1735,"Boerne city, Texas","17,864","18,087","19,393","20,730","21,738","22,712",,,,,,,,,,,
1736,"Secaucus town, New Jersey","22,187","22,038","21,309","21,346","21,472","22,710",,,,,,,,,,,
1737,"Radcliff city, Kentucky","23,021","23,023","23,038","22,907","22,740","22,706",,,,,,,,,,,
1738,"Greenwood city, South Carolina","22,555","22,558","22,434","22,472","22,555","22,667",,,,,,,,,,,
1739,"Christiansburg town, Virginia","23,355","23,309","22,468","22,588","22,667","22,632",,,,,,,,,,,
1740,"Corcoran city, California","22,361","22,707","22,631","22,324","22,143","22,627",,,,,,,,,,,
1741,"Acworth city, Georgia","22,466","22,428","22,355","22,375","22,517","22,624",,,,,,,,,,,
1742,"Bloomingdale village, Illinois","22,376","22,353","22,455","22,398","22,461","22,622",,,,,,,,,,,
1743,"Watertown city, Wisconsin","22,933","22,934","22,890","22,730","22,681","22,617",,,,,,,,,,,
1744,"Altoona city, Iowa","19,669","19,751","21,024","21,879","22,164","22,598",,,,,,,,,,,
1745,"Oxford city, Ohio","23,045","23,047","19,681","21,047","22,460","22,585",,,,,,,,,,,
1746,"Middleton city, Wisconsin","21,825","22,028","21,984","22,340","22,622","22,566",,,,,,,,,,,
1747,"Laguna Beach city, California","23,038","23,005","22,793","22,621","22,508","22,564",,,,,,,,,,,
1748,"North Platte city, Nebraska","23,407","23,311","22,981","22,691","22,582","22,549",,,,,,,,,,,
1749,"Big Spring city, Texas","26,310","26,269","26,015","22,551","22,484","22,541",,,,,,,,,,,
1750,"Seymour city, Indiana","22,000","22,058","22,005","22,082","22,242","22,524",,,,,,,,,,,
1751,"Carlisle borough, Pennsylvania","20,117","20,149","22,095","22,147","22,404","22,517",,,,,,,,,,,
1752,"Hastings city, Minnesota","22,159","22,156","22,032","21,738","22,165","22,502",,,,,,,,,,,
1753,"Sanford city, Maine","21,976","21,973","22,190","22,251","22,343","22,497",,,,,,,,,,,
1754,"Clemmons village, North Carolina","21,172","21,233","21,524","21,880","22,226","22,471",,,,,,,,,,,
1755,"La Porte city, Indiana","22,453","22,416","22,416","22,206","22,434","22,444",,,,,,,,,,,
1756,"Evans city, Colorado","22,182","22,292","22,344","22,613","22,349","22,394",,,,,,,,,,,
1757,"New Brighton city, Minnesota","23,457","23,467","22,926","22,468","22,343","22,374",,,,,,,,,,,
1758,"Biddeford city, Maine","22,549","22,542","22,539","22,497","22,542","22,370",,,,,,,,,,,
1759,"Columbia Heights city, Minnesota","21,963","21,944","21,874","22,275","22,316","22,358",,,,,,,,,,,
1760,"Snellville city, Georgia","20,572","20,596","20,866","22,102","22,246","22,336",,,,,,,,,,,
1761,"Ruston city, Louisiana","22,160","22,156","22,278","22,283","22,342","22,330",,,,,,,,,,,
1762,"Sedalia city, Missouri","21,731","21,742","21,848","21,961","22,115","22,310",,,,,,,,,,,
1763,"Zephyrhills city, Florida","17,218","17,353","18,275","19,365","21,007","22,304",,,,,,,,,,,
1764,"Bryant city, Arkansas","20,660","20,763","21,069","21,510","21,876","22,271",,,,,,,,,,,
1765,"Calabasas city, California","23,236","23,243","22,918","22,591","22,373","22,256",,,,,,,,,,,
1766,"Carbondale city, Illinois","22,300","22,263","22,145","22,161","22,102","22,223",,,,,,,,,,,
1767,"Helena city, Alabama","20,959","21,096","21,584","21,910","22,176","22,200",,,,,,,,,,,
1768,"Birmingham city, Michigan","21,817","21,767","21,619","21,549","21,610","22,198",,,,,,,,,,,
1769,"Harrison town, New Jersey","19,460","19,482","19,337","19,793","20,987","22,182",,,,,,,,,,,
1770,"Klamath Falls city, Oregon","21,787","21,905","22,176","22,174","22,162","22,174",,,,,,,,,,,
1771,"Stephenville city, Texas","20,963","21,114","21,425","21,646","22,094","22,147",,,,,,,,,,,
1772,"Bonney Lake city, Washington","21,664","22,024","22,104","22,123","22,043","22,145",,,,,,,,,,,
1773,"Imperial city, California","20,348","20,469","21,153","21,602","21,814","22,102",,,,,,,,,,,
1774,"Oxford city, Alabama","22,088","22,087","22,054","21,987","22,077","22,088",,,,,,,,,,,
1775,"Bartow city, Florida","19,562","19,574","19,785","20,011","20,762","22,084",,,,,,,,,,,
1776,"Crystal city, Minnesota","23,328","23,246","22,744","22,309","21,989","22,082",,,,,,,,,,,
1777,"Junction City city, Kansas","22,932","22,949","22,541","22,154","21,940","22,053",,,,,,,,,,,
1778,"Clarksville town, Indiana","22,348","22,323","22,166","21,808","22,259","22,041",,,,,,,,,,,
1779,"East Peoria city, Illinois","22,493","22,443","22,290","22,101","22,040","22,024",,,,,,,,,,,
1780,"Villa Park village, Illinois","22,258","22,206","22,009","21,870","21,891","22,020",,,,,,,,,,,
1781,"Darien city, Illinois","22,047","21,998","21,805","21,662","21,863","22,015",,,,,,,,,,,
1782,"Tavares city, Florida","18,999","19,019","19,751","20,408","21,168","22,007",,,,,,,,,,,
1783,"Lebanon city, Ohio","20,865","20,879","21,262","21,543","21,834","21,995",,,,,,,,,,,
1784,"Hanahan city, South Carolina","20,276","20,580","21,386","21,442","21,836","21,983",,,,,,,,,,,
1785,"East Ridge city, Tennessee","22,169","22,207","22,089","21,984","22,028","21,970",,,,,,,,,,,
1786,"Howard village, Wisconsin","19,957","19,995","20,758","21,205","21,532","21,961",,,,,,,,,,,
1787,"Arlington city, Washington","19,911","20,045","20,786","21,227","21,416","21,959",,,,,,,,,,,
1788,"Montgomery village, Illinois","20,290","20,440","21,351","21,866","21,985","21,957",,,,,,,,,,,
1789,"Lynn Haven city, Florida","18,710","18,664","19,064","20,106","20,675","21,954",,,,,,,,,,,
1790,"Dickinson city, Texas","21,433","21,468","21,708","21,765","21,865","21,941",,,,,,,,,,,
1791,"West St. Paul city, Minnesota","20,600","20,558","20,873","21,807","21,766","21,920",,,,,,,,,,,
1792,"Lindenwold borough, New Jersey","21,657","21,625","21,614","21,633","21,800","21,919",,,,,,,,,,,
1793,"North Liberty city, Iowa","20,481","20,503","20,832","21,157","21,275","21,904",,,,,,,,,,,
1794,"Willmar city, Minnesota","21,028","21,042","21,103","21,324","21,568","21,892",,,,,,,,,,,
1795,"Yucca Valley town, California","21,740","21,766","21,786","21,746","21,755","21,858",,,,,,,,,,,
1796,"Marquette city, Michigan","21,147","21,140","20,653","21,296","21,667","21,845",,,,,,,,,,,
1797,"Knightdale town, North Carolina","19,471","19,454","19,571","19,727","20,429","21,829",,,,,,,,,,,
1798,"Blue Island city, Illinois","22,562","22,470","22,048","21,749","21,673","21,805",,,,,,,,,,,
1799,"Pleasant Prairie village, Wisconsin","21,253","21,277","21,842","21,705","21,703","21,802",,,,,,,,,,,
1800,"Chillicothe city, Ohio","22,051","22,041","22,004","21,891","21,853","21,769",,,,,,,,,,,
1801,"American Canyon city, California","21,839","21,798","21,809","21,638","21,564","21,742",,,,,,,,,,,
1802,"South Burlington city, Vermont","20,201","20,215","20,289","20,635","21,037","21,713",,,,,,,,,,,
1803,"Mountain Brook city, Alabama","22,549","22,504","22,243","21,969","21,784","21,701",,,,,,,,,,,
1804,"Cudahy city, California","22,807","22,722","22,239","21,980","21,815","21,694",,,,,,,,,,,
1805,"St. Michael city, Minnesota","18,217","18,282","19,022","19,996","21,060","21,681",,,,,,,,,,,
1806,"Elmwood Park borough, New Jersey","21,424","21,363","21,300","21,311","21,451","21,680",,,,,,,,,,,
1807,"Montrose city, Colorado","20,308","20,384","20,716","21,035","21,394","21,646",,,,,,,,,,,
1808,"Tukwila city, Washington","21,780","21,748","21,408","21,198","21,310","21,636",,,,,,,,,,,
1809,"Milwaukie city, Oregon","21,157","21,172","21,061","21,386","21,651","21,620",,,,,,,,,,,
1810,"Covington city, Washington","20,772","20,862","21,120","21,300","21,340","21,567",,,,,,,,,,,
1811,"Alliance city, Ohio","21,671","21,634","21,450","21,486","21,538","21,523",,,,,,,,,,,
1812,"Manor city, Texas","13,642","14,091","18,082","19,014","20,325","21,500",,,,,,,,,,,
1813,"Pascagoula city, Mississippi","22,000","21,969","21,888","21,671","21,589","21,476",,,,,,,,,,,
1814,"Rocky River city, Ohio","21,751","21,723","21,548","21,382","21,330","21,468",,,,,,,,,,,
1815,"Culpeper town, Virginia","20,081","20,165","20,557","20,738","21,055","21,464",,,,,,,,,,,
1816,"Republic city, Missouri","18,763","18,903","19,239","19,723","20,176","21,392",,,,,,,,,,,
1817,"Westbrook city, Maine","20,405","20,435","20,683","20,684","20,693","21,386",,,,,,,,,,,
1818,"Gardner city, Massachusetts","21,282","21,222","21,028","21,017","21,104","21,381",,,,,,,,,,,
1819,"South Euclid city, Ohio","21,891","21,846","21,626","21,442","21,361","21,363",,,,,,,,,,,
1820,"New Castle city, Pennsylvania","21,933","21,900","21,757","21,525","21,435","21,332",,,,,,,,,,,
1821,"Port Hueneme city, California","21,965","21,940","21,790","21,505","21,356","21,325",,,,,,,,,,,
1822,"Sweetwater city, Florida","19,365","19,274","18,927","19,873","21,018","21,321",,,,,,,,,,,
1823,"Northfield city, Minnesota","20,815","20,820","20,832","20,972","21,176","21,316",,,,,,,,,,,
1824,"Mineola village, New York","20,809","20,849","21,413","21,273","21,233","21,305",,,,,,,,,,,
1825,"Mukilteo city, Washington","21,526","21,508","21,419","21,234","21,220","21,299",,,,,,,,,,,
1826,"Del City city, Oklahoma","21,812","21,804","21,594","21,465","21,375","21,272",,,,,,,,,,,
1827,"Golden Valley city, Minnesota","22,556","22,478","21,995","21,586","21,293","21,263",,,,,,,,,,,
1828,"Grayslake village, Illinois","21,258","21,218","21,146","21,061","21,118","21,262",,,,,,,,,,,
1829,"South Lake Tahoe city, California","21,336","21,303","21,441","21,221","21,153","21,225",,,,,,,,,,,
1830,"Hays city, Kansas","21,140","21,152","21,088","21,111","21,149","21,213",,,,,,,,,,,
1831,"Fort Walton Beach city, Florida","20,923","20,930","20,948","21,067","21,055","21,188",,,,,,,,,,,
1832,"Geneva city, Illinois","21,370","21,337","21,274","21,240","21,206","21,168",,,,,,,,,,,
1833,"Frankfort village, Illinois","20,299","20,312","20,519","20,706","20,973","21,160",,,,,,,,,,,
1834,"Highland city, Utah","19,354","19,378","19,630","19,976","20,391","21,146",,,,,,,,,,,
1835,"Anniston city, Alabama","21,567","21,520","21,355","21,195","21,182","21,127",,,,,,,,,,,
1836,"Murphy city, Texas","21,005","21,082","21,221","21,287","21,173","21,109",,,,,,,,,,,
1837,"Mount Pleasant city, Michigan","21,703","21,727","21,318","21,106","20,968","21,090",,,,,,,,,,,
1838,"Carrboro town, North Carolina","21,292","21,281","21,182","21,286","21,253","21,079",,,,,,,,,,,
1839,"Ashland city, Kentucky","21,627","21,589","21,392","21,305","21,127","21,066",,,,,,,,,,,
1840,"Saco city, Maine","20,379","20,419","20,716","20,908","21,026","21,064",,,,,,,,,,,
1841,"Hyattsville city, Maryland","21,187","21,139","20,918","20,824","20,862","21,052",,,,,,,,,,,
1842,"Greenfield city, California","18,937","18,951","19,775","20,602","20,764","21,042",,,,,,,,,,,
1843,"Arnold city, Missouri","20,898","20,908","20,907","20,884","21,102","21,036",,,,,,,,,,,
1844,"Tullahoma city, Tennessee","20,345","20,401","20,665","20,778","20,954","21,035",,,,,,,,,,,
1845,"Germantown village, Wisconsin","20,914","20,913","20,958","20,940","20,999","21,032",,,,,,,,,,,
1846,"Park Forest village, Illinois","21,699","21,617","21,261","20,987","20,912","21,016",,,,,,,,,,,
1847,"Ellensburg city, Washington","21,557","21,627","19,714","20,992","21,110","20,996",,,,,,,,,,,
1848,"East Moline city, Illinois","21,361","21,313","21,089","20,899","20,896","20,995",,,,,,,,,,,
1849,"Mill Creek city, Washington","20,934","20,912","21,023","20,938","20,933","20,993",,,,,,,,,,,
1850,"Angleton city, Texas","19,429","19,434","19,418","19,658","20,351","20,979",,,,,,,,,,,
1851,"Piqua city, Ohio","20,378","20,410","20,490","20,635","20,752","20,940",,,,,,,,,,,
1852,"Ashland city, Oregon","21,394","21,356","21,514","21,449","21,020","20,935",,,,,,,,,,,
1853,"Pleasantville city, New Jersey","20,625","20,593","20,604","20,694","20,741","20,924",,,,,,,,,,,
1854,"Durant city, Oklahoma","18,589","18,723","19,100","19,642","20,415","20,908",,,,,,,,,,,
1855,"Shelbyville city, Indiana","20,115","20,126","20,169","20,303","20,628","20,845",,,,,,,,,,,
1856,"Elko city, Nevada","20,541","20,557","20,625","20,705","20,802","20,822",,,,,,,,,,,
1857,"Louisville city, Colorado","21,244","21,205","20,875","20,511","20,534","20,811",,,,,,,,,,,
1858,"North Myrtle Beach city, South Carolina","18,830","18,924","19,337","19,873","20,347","20,798",,,,,,,,,,,
1859,"Kingsland city, Georgia","18,211","18,297","18,865","19,870","20,324","20,789",,,,,,,,,,,
1860,"South Holland village, Illinois","21,470","21,388","21,001","20,719","20,650","20,775",,,,,,,,,,,
1861,"New Hope city, Minnesota","21,981","21,906","21,460","21,073","20,778","20,745",,,,,,,,,,,
1862,"Morristown town, New Jersey","20,172","20,121","20,278","20,411","20,697","20,732",,,,,,,,,,,
1863,"Murrysville municipality, Pennsylvania","20,989","20,960","20,884","20,728","20,762","20,729",,,,,,,,,,,
1864,"Portland city, Texas","20,431","20,408","20,608","20,412","20,497","20,725",,,,,,,,,,,
1865,"Baldwin borough, Pennsylvania","21,520","21,487","21,261","20,981","20,812","20,712",,,,,,,,,,,
1866,"Forest Lake city, Minnesota","20,612","20,702","20,646","20,897","20,723","20,700",,,,,,,,,,,
1867,"Dolton village, Illinois","21,418","21,335","20,937","20,656","20,577","20,697",,,,,,,,,,,
1868,"Alamo city, Texas","19,516","19,666","20,003","20,349","20,580","20,694",,,,,,,,,,,
1869,"Lynbrook village, New York","20,424","20,355","20,304","20,164","20,130","20,684",,,,,,,,,,,
1870,"Westminster city, Maryland","20,137","20,130","20,332","20,456","20,627","20,662",,,,,,,,,,,
1871,"Rolla city, Missouri","19,929","19,921","20,095","20,308","20,506","20,660",,,,,,,,,,,
1871,"Painesville city, Ohio","20,298","20,290","20,551","20,639","20,634","20,660",,,,,,,,,,,
1873,"Auburndale city, Florida","15,602","15,742","17,366","18,629","20,141","20,659",,,,,,,,,,,
1874,"Mebane city, North Carolina","17,734","18,238","18,798","19,709","20,295","20,654",,,,,,,,,,,
1875,"Libertyville village, Illinois","20,581","20,563","20,533","20,485","20,494","20,643",,,,,,,,,,,
1876,"Johnstown town, Colorado","17,327","17,367","18,213","18,618","19,514","20,639",,,,,,,,,,,
1877,"Winder city, Georgia","18,342","18,405","18,987","19,425","19,756","20,628",,,,,,,,,,,
1878,"Claremore city, Oklahoma","19,584","19,631","19,894","20,237","20,394","20,602",,,,,,,,,,,
1879,"South St. Paul city, Minnesota","20,757","20,714","20,550","20,539","20,717","20,590",,,,,,,,,,,
1880,"Sulphur city, Louisiana","21,826","21,819","20,663","20,367","20,476","20,572",,,,,,,,,,,
1881,"Pittsburg city, Kansas","20,655","20,635","20,622","20,728","20,627","20,547",,,,,,,,,,,
1882,"Parma Heights city, Ohio","20,850","20,809","20,597","20,431","20,527","20,524",,,,,,,,,,,
1883,"Palisades Park borough, New Jersey","20,288","20,286","20,175","20,165","20,288","20,520",,,,,,,,,,,
1884,"Crowley city, Texas","18,058","18,349","19,316","19,521","20,056","20,483",,,,,,,,,,,
1885,"Sherwood city, Oregon","20,458","20,452","20,365","20,088","20,250","20,441",,,,,,,,,,,
1886,"Bethany city, Oklahoma","20,822","20,820","20,635","20,516","20,425","20,421",,,,,,,,,,,
1887,"Fayetteville city, Georgia","18,942","19,015","19,346","19,695","20,137","20,419",,,,,,,,,,,
1888,"Punta Gorda city, Florida","19,600","19,658","20,111","20,789","20,441","20,416",,,,,,,,,,,
1889,"Lockport city, New York","20,876","20,829","20,739","20,565","20,458","20,394",,,,,,,,,,,
1890,"Sidney city, Ohio","20,592","20,550","20,446","20,309","20,320","20,392",,,,,,,,,,,
1891,"Zachary city, Louisiana","19,423","19,486","19,830","19,963","20,114","20,370",,,,,,,,,,,
1892,"Gallup city, New Mexico","21,902","21,801","21,441","20,994","20,528","20,339",,,,,,,,,,,
1893,"Harrisburg town, North Carolina","18,985","18,913","19,313","19,625","19,962","20,335",,,,,,,,,,,
1894,"Sand Springs city, Oklahoma","19,917","19,947","20,001","20,133","20,224","20,330",,,,,,,,,,,
1895,"Brigham City city, Utah","19,644","19,683","19,989","20,005","20,035","20,319",,,,,,,,,,,
1896,"Dixon city, California","19,308","19,352","19,463","19,531","19,801","20,296",,,,,,,,,,,
1897,"Phoenixville borough, Pennsylvania","18,601","18,585","19,066","19,377","19,947","20,286",,,,,,,,,,,
1898,"Universal City city, Texas","19,714","19,753","19,853","20,032","20,126","20,267",,,,,,,,,,,
1899,"Adrian city, Michigan","20,647","20,616","20,503","20,392","20,261","20,259",,,,,,,,,,,
1900,"Miamisburg city, Ohio","19,927","19,913","19,849","19,799","19,870","20,253",,,,,,,,,,,
1901,"Cullman city, Alabama","18,335","18,461","18,845","19,229","19,869","20,239",,,,,,,,,,,
1902,"South Milwaukee city, Wisconsin","20,797","20,772","20,567","20,347","20,238","20,233",,,,,,,,,,,
1903,"Crest Hill city, Illinois","20,457","20,417","20,352","20,204","20,197","20,223",,,,,,,,,,,
1904,"La Marque city, Texas","18,377","18,460","18,833","19,156","19,640","20,194",,,,,,,,,,,
1905,"Monroe city, Michigan","20,460","20,451","20,426","20,255","20,189","20,177",,,,,,,,,,,
1906,"Erlanger city, Kentucky","19,651","19,689","19,759","19,806","19,935","20,172",,,,,,,,,,,
1907,"Naples city, Florida","19,117","19,137","19,479","19,752","19,987","20,168",,,,,,,,,,,
1908,"Golden city, Colorado","20,415","20,399","20,711","20,613","20,283","20,151",,,,,,,,,,,
1909,"Ypsilanti city, Michigan","20,653","20,605","19,180","19,780","19,549","20,150",,,,,,,,,,,
